Picked By,Category,Pick,Film,Vote %,Image URL
Josh,Best Picture,Hamnet,Hamnet,5%,https://media.vanityfair.com/photos/69459ca0dea04ab5c8909b4c/1:1/w_300
Josh,Best Director,Ryan Coogler,Sinners,32%,https://media.vanityfair.com/photos/674606f96bace41e90f1f4cf/1:1/w_300
Josh,Best Actress,Jessie Buckley,Hamnet,73%,https://media.vanityfair.com/photos/68a621e9fd15f61246dbb26d/1:1/w_300
Josh,Best Actor,Michael B. Jordan,Sinners,56%,https://media.vanityfair.com/photos/6980e128825f8d54ff81329b/1:1/w_300
Josh,Best Supporting Actress,Teyana Taylor,One Battle After Another,23%,https://media.vanityfair.com/photos/69459ca03540978087923900/1:1/w_300
Josh,Best Supporting Actor,Stellan Skarsgård,Sentimental Value,16%,https://media.vanityfair.com/photos/6980e826c319510dba722560/1:1/w_300
Josh,Best Original Screenplay,Sinners,Sinners,76%,https://media.vanityfair.com/photos/674606f96bace41e90f1f4cf/1:1/w_300
Josh,Best Adapted Screenplay,Hamnet,Hamnet,19%,https://media.vanityfair.com/photos/69459ca0dea04ab5c8909b4c/1:1/w_300
Josh,Best International Feature,The Voice of Hind Rajab,Tunisia,4%,https://media.vanityfair.com/photos/698383378d2faca3ac9c2c8e/1:1/w_300
Josh,Best Animated Feature,KPop Demon Hunters,KPop Demon Hunters,76%,https://media.vanityfair.com/photos/68d3f4dd47f4cdba33dfbccf/1:1/w_300
Josh,Best Documentary Feature,The Perfect Neighbor,The Perfect Neighbor,56%,https://media.vanityfair.com/photos/6984cc7cfeed93e5e4f1fc8f/1:1/w_300
Josh,Best Original Score,Frankenstein,Frankenstein,4%,https://media.vanityfair.com/photos/69387838ce999ee86a184d3d/1:1/w_300
Josh,Best Original Song,Golden,KPop Demon Hunters,62%,https://media.vanityfair.com/photos/68d3f4dd47f4cdba33dfbccf/1:1/w_300
Josh,Best Cinematography,Train Dreams,Train Dreams,17%,https://media.vanityfair.com/photos/695c14784d16d8b8bf106334/1:1/w_300
Josh,Best Costume Design,Frankenstein,Frankenstein,65%,https://media.vanityfair.com/photos/69387838ce999ee86a184d3d/1:1/w_300
Josh,Best Film Editing,F1,F1,15%,https://media.vanityfair.com/photos/6980f109656834c976707272/1:1/w_300
Josh,Best Casting,One Battle After Another,One Battle After Another,14%,https://media.vanityfair.com/photos/6900e3eac5e7673f1832c621/1:1/w_300
Josh,Best Makeup and Hairstyling,Frankenstein,Frankenstein,81%,https://media.vanityfair.com/photos/69387838ce999ee86a184d3d/1:1/w_300
